railroad,incdtno,year,month,day,timehr,timemin,ampm,type,carshzd,station,state,temp,visiblty,weather,trnspd,typspd,tons,trkclas,typtrk,loadf1,emptyf1,cause,acctrk,acctrkcl,highspd,accdmg,stcnty,totinj,totkld,enghr,cdtrhr,jointcd,region,year4,county,cntycd,narr1,narr2,narr3,latitude,longitud
NS,138569,20,7,18,3,10,PM,1,0,COALING,1,94,2.0,1.0,39,R,9928,5,1.0,114,47,H508,1.0,5,39,1181799,01C125,0,0,12.0,12.0,1,3,2020,TUSCALOOSA,125,NS TRAIN 314A717 WAS TRAVELING IN A NORTH BOUND DIRECTION ON THE MAINLINE WHEN LINES 134 AND 138-153,DERAILED.,,33.158907,-87.310808
NYA,21820,20,2,18,12,25,AM,1,0,NEW YORK-KINGS,36,37,4.0,1.0,10,E,0,X,2.0,1,0,E0HC,2.0,X,10,210483,36C047,0,0,6.0,6.0,1,1,2020,KINGS,47,CREW WAS ATTEMPTING TO PERFORM A GRAVITY SWITCH MOVE OF LOADED REFRIGERATED BOXCAR ARMN 902998 ON TH,"E EAST END OF NYNJ 65TH ST YARD.  THE CAR FAILED TO STOP WHEN THE HANDBRAKE WAS REAPPLIED, AND THE C","AR CONTINUED TO TRAVEL WEST THROUGH THE YARD, THROUGH A DERAIL LEFT UNAPPLIED BY THE HOST RAILROAD,",40.64384,-74.03252
ALE,2001CONTR,20,11,17,2,26,PM,9,0,PRICHARD,1,73,2.0,1.0,0,E,0,2,1.0,0,1,H315,1.0,2,18,53000,01C097,0,0,7.0,,1,3,2020,MOBILE,97,"THE CREW OF A THIRD-PART CONTRACTOR, CONTINENTAL RAILS, INC. WAS REPLACING TIES ON A SECTION OF NON-",CONTROLLED MAIN TRACK FOR ALE.  CONTINENTAL HAD A HIGH RAIL GRAPPLE TRUCK AND BACKHOE ON THE RAILS A,"T THE WORK SITE AND EMPLOYEES WORKING BETWEEN THAT EQUIPMENT. BEFORE STARTING WORK, A CONTINENTAL EM",30.738818,-88.087084
ALE,2001DERAIL,20,8,8,4,45,PM,1,0,MOBILE,1,92,2.0,1.0,5,E,0,2,2.0,0,0,H704,2.0,2,5,17968,01C097,0,0,9.0,9.0,1,3,2020,MOBILE,97,ENGINEER WAS LEADING WITH CN3238 WHEN HE RAN THROUGH MO22 SWITCH AT A SLOW SPEED.  ENGINEER STOPPED,"MOVEMENT, STILL NOT REALIZING HE HAD RUN THROUGH SWITCH, IN ORDER TO SWAP ENDS OF CONTROL TO LOCMOTI","VE CONSIST.  ONCE ON THE OTHER END, HE PULLED THE CONSIST IN THE OPPOSITE DIRECTION, DERAILING CN 32",30.708814,-88.050648
NS,138750,20,8,4,4,0,PM,12,0,DECATUR,1,88,3.0,1.0,0,E,0,1,2.0,1,0,H312,2.0,1,5,106822,01C103,0,0,,,3,3,2020,MORGAN,103,"NS CREW A08AA04 SWITCHING CARS EAST, MISMATCHED DJTX 030687 TO AOKX 206411, CAUSING DAMAGE TO BOTH.",,,34.615477,-86.983764
NS,138954,20,8,25,12,30,AM,4,0,IRONDALE,1,72,4.0,1.0,4,E,0,1,2.0,11,26,H702,2.0,1,4,350924,01C073,0,0,1.0,,3,3,2020,JEFFERSON,73,"NS TRAIN 179A622 INBOUND THROUGH THE HUMP MAIN INTO RT06, AB87 WAS HUMPED INTO THE SIDE OF NS TRAIN","179A622 CAUSING THE DERAILMENT OF THREE (TBOX 673461, SHQX 10345, NS 469635) AND THE SIDE SWIPE OF T","WO CARS ( TILX 255357, TILX 250350).",33.548905,-86.67801
NS,138954,20,8,25,12,30,AM,4,0,IRONDALE,1,72,4.0,1.0,4,E,0,1,2.0,77,70,H702,2.0,1,4,350924,01C073,0,0,10.0,10.0,1,3,2020,JEFFERSON,73,"NS TRAIN 179A622 INBOUND THROUGH THE HUMP MAIN INTO RT06, AB87 WAS HUMPED INTO THE SIDE OF NS TRAIN","179A622 CAUSING THE DERAILMENT OF THREE (TBOX 673461, SHQX 10345, NS 469635) AND THE SIDE SWIPE OF T","WO CARS ( TILX 255357, TILX 250350).",33.548905,-86.67801
NS,138750,20,8,4,4,0,PM,12,0,DECATUR,1,88,3.0,1.0,5,E,0,1,2.0,0,1,H312,2.0,1,5,106822,01C103,0,0,9.0,9.0,1,3,2020,MORGAN,103,"NS CREW A08AA04 SWITCHING CARS EAST, MISMATCHED DJTX 030687 TO AOKX 206411, CAUSING DAMAGE TO BOTH.",,,34.615477,-86.983764
CSX,192345,20,8,29,3,16,PM,1,0,TALLADEGA,1,90,2.0,1.0,10,E,3939,1,3.0,30,4,T220,1.0,1,10,271991,01C121,0,0,8.0,8.0,2,3,2020,TALLADEGA,121,"A71429 PULLING 34 CARS FROM THE EASTERN ALABAMA RAILWAY SIDING,  DERAILED 4 CARS WHEN 4 BROKE UNDER","MOVEMENT, 19 CARS FROM THE HEAD END AND DERAIL CARS 19, 20, 21 & 22. EARY DAMAGES: $70,000.00",,33.438552,-86.09987
UP,1020ES063,20,10,19,11,0,AM,1,0,INKOM,16,59,2.0,1.0,10,E,0,3,1.0,0,1,T222,1.0,3,10,19247,16C005,0,0,4.0,,1,8,2020,BANNOCK,5,"EMPLOYEE WAS HYRAIL ON MAIN TRACK TWO, ON THE POCATELLO SUB AT APPROXIMATELY MP 200 WHEN HIS HYRAIL",VEHICLE DERAILED AND LEFT THE TRACK FOR UNKNOWN REASON.  EMPLOYEE STATED THAT THERE WERE MULTIPLE DE,FECTS IN THE TRACK THAT WAS CURRENTLY REPARING.,42.746718,-112.215903
UP,1220RM020,20,12,21,2,0,AM,1,0,BERN,16,40,4.0,2.0,31,R,17453,4,1.0,111,88,E7AL,1.0,4,31,560993,16C007,0,0,8.0,8.0,1,8,2020,BEAR LAKE,7,"MPCNP-20 TRAVELING EAST ON MT1, CROSSING OVER TO MT2 AT MP 119.  AT MP 116.5 DP SCREEN ON THE UP6620","WENT BLANK, THEN UDE.  TAPE SHOWS THE UP6620 GOING INTO EMERGENCY, FOLLOWED BY THE MID DP UP2630, F",OLLOWED BY THE READ DP UP7601.  THE INERTIA FROM THE WEIGHT OF THE CARS AT THE BEHIND LINE 89 (APPRO,42.367288,-111.339903
UP,1220RM022,20,12,25,6,20,PM,1,0,POCATELLO,16,35,3.0,2.0,5,E,5609,1,2.0,40,10,E40C,2.0,1,5,11999,16C005,0,0,1.0,2.0,1,8,2020,BANNOCK,5,THE YPC02-25 DERAILED 6 CARS WHILE SHOVING THEM IN TRACK 127.,,,42.873498,-112.460214
UP,0520ME011,20,5,14,9,43,AM,13,0,POCATELLO,16,51,2.0,1.0,7,E,0,X,2.0,0,0,H307,2.0,X,7,12312,16C005,0,0,2.0,,1,8,2020,BANNOCK,5,MOVER TEAM WAS MAKING A SHOVING MOVEMENT TO THE EAST.  THE MOVE STARTED BY RADIO AND THEN WAS BROUGH,T UP TO THE GROUNDMAN TO A STOP.  THE GROUNDMAN HOPPED ON THE EAST MOTOR TO PROTECT THE SHOVE AND GA,VE HAND SIGNALS TO THE OPERATOR TO COME EAST WITHOUT SPECIFYING DISTANCE OR THAT THEY WERE SWITCHING,42.868594,-112.45436
UP,1020PN012,20,10,12,6,5,PM,1,0,NAMPA,16,72,3.0,1.0,2,E,5089,3,2.0,35,8,H318,2.0,3,2,11383,16C027,0,0,8.0,8.0,1,8,2020,CANYON,27,"WHILE SWITCHING CARS IN THE ICE HOUSE, YNA43-12 REPORTED TRACK 034 HAD MWCX500443, WITH 1 SET OF TRA",CKS ON THE A END DERAILED.  AGREED UPON POD HAD A SHARP MARK INSIDE THE RAIL INDICATING THAT CAR `JU,MPED` THE RAIL UNDER IMPACT.  IT WAS DETERMINED THAT THE CAR DERAILED DURING SWITCHING OPERATIONS ON,43.586842,-116.569165
UP,0620RM030,20,6,21,6,30,AM,1,0,POCATELLO,16,62,1.0,2.0,4,E,2994,X,2.0,20,6,T309,2.0,X,4,46280,16C005,0,0,8.0,,1,8,2020,BANNOCK,5,YPC30R-20 DERAILED REAR SET OF TRUCKS ON A SHOVING MOVE OVER A FACING POINT SWITCH.  MOVE WAS EASTBO,UND FROM ZONE 9 TO 308.,,42.84396,-112.427291
BNSF,MT0320109,20,3,13,11,41,PM,9,0,SANDPOINT,16,21,4.0,6.0,0,,0,4,1.0,0,0,M404,1.0,4,80,13692,16C017,0,0,,,2,8,2020,BONNER,17,AMTRAK TRAIN STUCK A TREE ON TRACKS. REPORTS OF DAMAGE TO LOCOMOTIVE. NO TRACK DAMAGE.,,,48.330631,-116.560257
UP,0520RM011,20,5,10,6,17,PM,1,0,POCATELLO,16,80,3.0,1.0,7,E,1840,X,2.0,18,5,T309,2.0,X,7,57441,16C005,0,0,3.0,,1,8,2020,BANNOCK,5,"YPC23R-10 WAS PULLING THEIR CUT OF CARS WESTBOUND, OUT OF THE LOW SIDE OF THE YARD, ACROSS THE LONG","5 SWITCH, WHEN THEY WITNESSED DUST FROM A CAR ON THE GROUND.  AFTER FURTHER INSPECTION, A LOADED CEM","ENT CAR, NAHX29803 APPEARED TO HAVE CLIMBED THE SWITCH POINT, CAUSING 3 CARS TO DERAIL WHILE GOING F",42.877088,-112.464845
IAIS,2020007,20,2,23,9,25,PM,1,0,COUNCIL BLUFFS,19,1,4.0,1.0,9,R,3812,1,2.0,19,26,E64C,2.0,1,9,72729,19C155,0,0,6.0,7.0,1,6,2020,POTTAWATTAMIE,155,SWITCH CREW WAS YARDING THEIR TRAIN THROUGH CBE12 IN WESTWARD DIRECTION. ENGINEER STOPPED TO DROP CO,"NDUCTOR OFF.  STARTED PULLING AHEAD AND AFTER TRAVELING 15 CARS OR SO, TRAIN STARTED TO DRAG.  WHEN",ENGINEER NOTCHED DOWN THE TRAIN WENT INTO EMERGENCY.  SIX CARS HAD DERAILED.,41.234505,-95.836747
BNSF,HL0220101,20,2,3,1,54,AM,1,0,CRESTON,19,32,4.0,1.0,6,R,3080,1,2.0,28,0,T111,2.0,1,6,149329,19C175,0,0,1.0,1.0,1,6,2020,UNION,175,C-WTMOTL0-02 DERAILED 6 RAILCARS WHILE PULLING OUT OF YARD TRACK 107 DUE TO TRACK WIDE GAGE.  NO HAZ,ARDOUS MATERIALS WERE RELEASED.,,41.056456,-94.362531
UP,0220GL008,20,2,4,5,44,AM,12,0,CEDAR RAPIDS,19,26,1.0,2.0,0,,0,1,2.0,0,0,H020,2.0,1,8,52987,19C113,0,0,,,2,6,2020,LINN,113,IANR CREW SET CAR OUT TO 100 TRACK.  THE CREW WENT BACK TO THEIR TRAIN ON THE 23 LEAD AND STARTED PU,"LLING TRAIN.  THE CAR RWTX21010 ROLLED INTO THE SIDE OF THE NORTHBOUND TRAIN AS IT WAS DEPARTING, DE","RAILING 7 CARS IN THEIR TRAIN.  IANR REPORTED $37,037 IN EQUIPMENT DAMAGE.",42.004254,-91.687493
NS,139744,20,11,15,8,10,PM,3,0,ATLANTA,13,50,4.0,1.0,0,E,2930,4,1.0,28,0,H221,1.0,4,26,569890,13C121,0,0,5.0,5.0,3,3,2020,FULTON,121,CREW FAILED TO COMPLY WITH GAOPB - 079 RESULTING IN GA24 PASSING CP FIELDS AND CP BOLTON WITHOUT AUT,"HORITY CAUSING THEM TO RUN INTO TRAIN 265G115 REAR END. AS A RESULT NS 6997, COER 172718, UCRY 15643",", COER 172688, WFRX 116376, WFRX 116310 DERAILED OON GA42 AND, BNSF 211319 ON TRAIN 265G115.",33.807793,-84.485925
NS,139744,20,11,15,8,10,PM,3,0,ATLANTA,13,50,4.0,1.0,26,R,2518,4,1.0,10,7,H221,1.0,4,26,569890,13C121,1,0,4.0,4.0,1,3,2020,FULTON,121,CREW FAILED TO COMPLY WITH GAOPB - 079 RESULTING IN GA24 PASSING CP FIELDS AND CP BOLTON WITHOUT AUT,"HORITY CAUSING THEM TO RUN INTO TRAIN 265G115 REAR END. AS A RESULT NS 6997, COER 172718, UCRY 15643",", COER 172688, WFRX 116376, WFRX 116310 DERAILED OON GA42 AND, BNSF 211319 ON TRAIN 265G115.",33.807793,-84.485925
CSX,191549,20,7,22,9,15,AM,11,0,WOODLAND,13,86,2.0,1.0,5,E,0,4,1.0,0,0,E73L,1.0,4,5,18459,13C263,0,0,9.0,9.0,1,3,2020,TALBOT,263,Q12521 LOCOMOTIVE 3419 WAS ON FIRE.,,,32.812399,-84.55368
CSX,191109,20,6,30,7,53,AM,7,0,BLACKSHEAR,13,79,1.0,2.0,50,E,9490,4,1.0,56,80,M303,1.0,4,50,60427,13C229,0,0,8.0,8.0,1,3,2020,PIERCE,229,Q40927 STRUCK A VEHICLE AT CROSSING.  3 HEAD ENGINES WERE DAMAGED AND CARS FROM HEAD DAMAGED.   PROT,ECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).,,31.275066,-82.276201
CSX,189372,20,3,28,8,0,PM,1,0,SELKIRK,36,40,4.0,3.0,8,E,0,1,2.0,1,0,S099,2.0,1,8,30235,36C001,0,0,,,1,1,2020,ALBANY,1,"DURING HUMP OPERATIONS THE FBOX 502221 WAS TARGETED FOR TRK 018, BUT THE A END TRUCK DERAILED AS THE",CAR TRAVERSED THE 17/18 SWITCH.  THE CAR DERAILED DUE TO A PRESENCE DETECTOR CABLE FAILURE ALLOWING,AN AUTO SWITCH TO THROW UNDER A TRAVERSING CAR.,42.565903,-73.854184
NYSW,200521A,20,5,21,1,10,PM,4,0,KIRKWOOD,36,64,2.0,1.0,4,E,1420,2,2.0,16,0,H210,2.0,2,4,73253,36C007,0,0,2.0,2.0,3,1,2020,BROOME,7,"DURING SWITCHING OPERATIONS, THE ENGINEER ON JOB BH-1 HEARD ON THE RADIO, BACK UP.  ENGINEER PROCEED","ED TO BACK UP, DID NOT CONFIRM IT WAS THEIR CONDUCTOR THAT INSTRUCTED THE BACK UP MOVE, PROCEEDED TO","BACK UP, BACKED THEIR TRAIN INTO THE SIDE OF ANOTHER TRAIN CL-2 CAUSING DAMAGE TO BOTH THE NYSW-301",42.103895,-75.88981
CSX,193992,20,11,22,10,20,AM,12,0,SELKIRK,36,35,2.0,2.0,2,E,0,X,2.0,0,1,E99C,2.0,X,2,12356,36C001,0,0,,,3,1,2020,ALBANY,1,TILX 258539 WHICH WAS A LOADED TANK CAR CAME OUT OF THE MASTER RETARDER .71 UNDER REQUESTED SPEED (R,"=11, A=10.29) THEN OUT OF THE GROUP RETARDER 2.45 UNDER REQUESTED SPEED (R= 7.86, A=5.40). THE CAR T","HEN HAD THE LAST AXLE OVER THE 62 SWITCH AT 09:58:34, ANTI- CORNERING STARTS AND PLANS TO END AT 09:",42.565903,-73.854184
CSX,192663,20,9,16,10,38,AM,1,0,WAYCROSS,13,85,2.0,2.0,1,R,0,X,2.0,86,50,M405,2.0,1,1,270962,13C299,0,0,4.0,,1,3,2020,WARE,299,Y19616 WAS SHOVING TRACK R07 TO THE HILL TO HUMP AND DERAILED 2 CARS IN R07. THOSE CARS STRUCK CARS,STANDING IN R08 WHICH RESULTED IN 5 ADDITIONAL CARS DERAILING ONTO THEIR SIDE.,,31.213524,-82.353588
NS,140087,20,12,22,7,37,PM,12,0,MACON,13,45,3.0,1.0,2,E,0,2,2.0,0,0,H307,2.0,2,6,16360,13C021,0,0,2.0,2.0,1,3,2020,BIBB,21,GM21 RCO ENGINES SIDE SWIPED THE TRAILING UNIT OF G08 CONSIST DERAILING L1 L2 L3 R1 R2 R3 WHEELS OF,THE NS 6949 WHEN FOULING ZONE 9,,32.813658,-83.622785
CSX,193992,20,11,22,10,20,AM,12,0,SELKIRK,36,35,2.0,2.0,2,E,0,X,2.0,1,0,E99C,2.0,X,2,12356,36C001,0,0,,,1,1,2020,ALBANY,1,TILX 258539 WHICH WAS A LOADED TANK CAR CAME OUT OF THE MASTER RETARDER .71 UNDER REQUESTED SPEED (R,"=11, A=10.29) THEN OUT OF THE GROUP RETARDER 2.45 UNDER REQUESTED SPEED (R= 7.86, A=5.40). THE CAR T","HEN HAD THE LAST AXLE OVER THE 62 SWITCH AT 09:58:34, ANTI- CORNERING STARTS AND PLANS TO END AT 09:",42.565903,-73.854184
CSX,189842,20,4,24,8,8,AM,1,0,SELKIRK,36,42,2.0,3.0,7,E,0,X,2.0,0,0,H702,2.0,X,7,15213,36C001,0,0,,,1,1,2020,ALBANY,1,Y18424 PANEL CONDUCTOR OPERATED 7A SWITCH IN FRONT OF Y19724 LOCOMOTIVE CSXT 2445 AS THE EQUIPMENT W,"AS MOVING EAST FROM THE SOUTH-SIDE OF TRACK 358 TOWARD DRILL 1, CAUSING THE CSXT 1018 TO DERAIL.",,42.565903,-73.854184
NS,139414,20,10,6,5,0,AM,4,0,CHARLOTTE,37,72,1.0,1.0,7,E,0,1,1.0,8,2,H306,1.0,1,7,81870,37C119,0,0,4.0,4.0,3,3,2020,MECKLENBURG,119,"TRAIN E51P306 SHOVING NORTH ON AY06 WITH 1 LOCOMOTIVE AND 10 CARS SIDE SWIPED ADJACENT TRACK, CAUSIN",G RAIL EQUIPMENT DAMAGE.,,35.228142,-80.852528
BNSF,HL0120107,20,1,10,7,9,PM,13,0,SOUTH BEND,31,22,3.0,6.0,4,E,17142,4,1.0,120,0,H705,1.0,4,4,23000,31C025,0,0,6.0,6.0,1,6,2020,CASS,25,C-NAMCNM0-02 CAUSED TRACK AND SIGNAL DAMAGES TO A MAIN LINE SWITCH WHILE TRAVERSING MAIN 1 TRACK DUE,TO IMPROPERLY LINED MOVEABLE POINT SWITCH FROG. NO HAZARDOUS MATERIALS WERE RELEASED.,,40.998113,-96.237561
BNSF,MT0620103,20,6,22,6,0,PM,1,0,RESERVE,30,73,3.0,1.0,9,R,15696,1,1.0,110,0,T001,1.0,1,9,230090,30C091,0,0,7.0,7.0,1,8,2020,SHERIDAN,91,G-MECDUL9-21 DERAILED 6 RAILCARS WHILE TRAVERSING SINGLE MAIN TRACK DUE TO TRACK ROADBED SETTLED OR,SOFT.   NO HAZARDOUS MATERIALS WERE RELEASED.,,48.576759,-104.47557
NS,139589,20,10,30,1,0,PM,7,0,MOORESVILLE,37,68,2.0,1.0,16,R,78,2,1.0,0,3,M305,1.0,2,16,13802,37C097,0,0,6.0,6.0,1,3,2020,IREDELL,97,"NS TRAIN P23P730 STRUCK A TRACTOR TRAILER, HWY-USER TURNED RIGHT OVER HWY GRADE CROSSING, EQUIPPED W",ITH FLASHING LIGHTS.,,35.624585,-80.798664
NDW,NDW200819O,20,8,19,1,38,PM,11,0,NAPOLEON,39,78,2.0,1.0,0,E,0,X,1.0,0,0,E79L,1.0,X,0,31880,39C069,0,0,11.0,11.0,1,2,2020,HENRY,69,TUBRO BACK FIRE INTO AIR INTAKE FILTERS CAUSING A FIRE IN THE ENGINE OF LOCOMOTIVE.,,,41.39322,-84.127
NS,138991,20,8,27,4,5,PM,1,0,BELLEVUE,39,87,3.0,1.0,3,E,0,1,2.0,41,3,S011,2.0,1,3,131194,39C043,0,0,1.0,,1,2,2020,ERIE,43,"NS CREW LB23 SHOVING WEST, DERAILED 2 UNITS AND 2 RAILCARS.",,,41.293228,-82.782682
CSX,187621,20,1,1,9,30,AM,4,0,NORTH BALTIMORE,39,31,2.0,2.0,8,E,0,1,2.0,0,0,H306,2.0,1,8,135451,39C173,0,0,2.0,,3,2,2020,WOOD,173,Y19201 GAVE Q16131 PERMISSION TO ENTER THE EAST ZONE AND YARD THE TRAIN IN RD2.  THE Y19201 WAS INST,RUCTED TO CUT CARS AWAY IN S5E AND TO PULL AHEAD TO CLEAR THE SWITCH AND REMINDED BY THE YARDMASTER,TO LOOK OUT FOR TRAIN AND ROOM AHEAD.  THE Y19201 FOREMAN THEN PULLED AHEAD AND IMPACTED THE SIDE OF,41.182016,-83.684342
CSX,191425,20,7,17,10,5,AM,7,0,TIFFIN,39,78,2.0,1.0,48,R,5119,4,1.0,0,98,M303,1.0,4,48,15335,39C147,0,0,6.0,6.0,1,2,2020,SENECA,147,DRIVER OF SEMI TRUCK GOT TRAILER STUCK ON WALL STREET CROSSING AND WAS STRUCK BY Q21716. AGE UNKNOWN,.   PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS ( STOP LINES),,41.120437,-83.187745
NS,139208,20,9,20,12,25,PM,1,0,CANTON,39,65,2.0,1.0,2,E,0,1,2.0,26,2,E29C,2.0,1,2,24364,39C151,0,0,,,1,2,2020,STARK,151,"CANTON YARD ASSIGNMENT CT12 (26X2, 3508 TONS, 1340 FT.), SHOVING IN A WEST DIRECTION DOWN THE YARD S","WITCHING LEAD, TO COUPLE TO 713 TRACK, DERAILED 9TH HEAD CAR RLMX1435 A END R3/4 AND L3/4. MECHANICA","L FORCES STATE THAT THE CAR WAS RUSTED COMPLETELYY THROUGH THE CAR BODY, AND WERE SURPRISED THE CAR",40.818952,-81.313794
NS,139485,20,10,20,2,42,PM,7,0,PAYNE,39,45,2.0,2.0,39,R,9349,4,1.0,85,1,M303,1.0,4,39,78480,39C125,0,0,5.0,5.0,1,2,2020,PAULDING,125,"NS TRAIN 50VL619 STRUCK A TRACTOR TRAILER STUCK ON HWY GRADE CROSSING, EQUIPPED WITH GATES.",,,41.077688,-84.803346
NS,139999,20,12,13,5,20,AM,12,0,BELLEVUE,39,28,1.0,1.0,5,E,0,1,2.0,1,0,H312,2.0,1,5,36124,39C043,0,0,6.0,6.0,3,2,2020,ERIE,43,"NS CREW LB43 SWITCHING CARS EAST, BYPASSED ADMX 54052 AND TILX 400773, CAUSING BOTH TO DERAIL.",,,41.289407,-82.792543
NS,139999,20,12,13,5,20,AM,12,0,BELLEVUE,39,28,1.0,1.0,0,E,0,1,2.0,1,0,H312,2.0,1,5,36124,39C043,0,0,,,1,2,2020,ERIE,43,"NS CREW LB43 SWITCHING CARS EAST, BYPASSED ADMX 54052 AND TILX 400773, CAUSING BOTH TO DERAIL.",,,41.289407,-82.792543
NS,138641,20,7,25,7,30,AM,12,0,BELLEVUE,39,75,1.0,1.0,0,E,0,1,2.0,1,0,H312,2.0,1,2,20356,39C077,0,0,,,3,2,2020,HURON,77,"DURING NORMAL SWITCHING OPERATIOPNS, CAR AEX 007319 BYPASSED WITH AEX 010933 CAUSING WHEELS L4,R4 ON",AEX 10933 TO DERAIL.,,41.288298,-82.79778
NS,138641,20,7,25,7,30,AM,12,0,BELLEVUE,39,75,1.0,1.0,2,E,0,1,2.0,1,0,H312,2.0,1,2,20356,39C077,0,0,7.0,7.0,1,2,2020,HURON,77,"DURING NORMAL SWITCHING OPERATIOPNS, CAR AEX 007319 BYPASSED WITH AEX 010933 CAUSING WHEELS L4,R4 ON",AEX 10933 TO DERAIL.,,41.288298,-82.79778
NS,138097,20,5,30,10,0,AM,1,0,MINGO JUNCTION,39,60,2.0,2.0,0,E,0,1,2.0,0,0,T314,2.0,1,0,2000,39C081,0,0,,,1,2,2020,JEFFERSON,81,****WHEELING & LAKE ERIE RAILWAY COMPANY**** W&LE 5735 WITH 2 LOCOMOTIVES AND 1 EMPTY DERAILED THE 3,RD AXLE ON THE LEAD LOCOMOTIVE WHILE SHOVING EAST INTO 208 TRACK AT MINGO JCT. YARD.,,40.310679,-80.610466
CSX,194161,20,11,28,7,15,AM,12,0,COLUMBUS,39,50,1.0,1.0,4,E,0,1,2.0,15,6,M599,2.0,1,4,40747,39C049,0,0,7.0,7.0,3,2,2020,FRANKLIN,49,Y39027 WAS PULLING CUT OF CARS THAT WERE PREVIOUSLY DAMAGED DUE TO HARD COUPLING. WHILE STRETCHING T,"HE CUT OF CARS, IT WAS NOTICED THAT ONE RAIL CAR WAS ANGLED AND HAD IMPACTED A CAR ON A PARALLEL TRA",CK AND DAMAGED THE GRAB IRONS.,39.972333,-83.021122
CSX,194123,20,11,28,3,40,AM,12,0,COLUMBUS,39,45,4.0,1.0,6,R,0,1,2.0,15,6,H312,2.0,1,6,34500,39C049,0,0,,,1,2,2020,FRANKLIN,49,SUSTAINED DAMAGE TO 3 CARS FROM HARD COUPLING DURING SWITCHING OPERATIONS AT THE EE OF PARSONS YARD.,"AFTER ATTEMPTING TO COUPLE, CAR IMPACTED STANDING CAR ON PARALLEL TRACK.  EMPLOYEES ARE NOT BEING C",HARGED DUE TO THERE WAS NO RULE VIOLATION PER OUR CURRENT RULES.,39.972333,-83.021122
CSX,194125,20,11,24,10,50,PM,12,0,WALBRIDGE,39,35,4.0,2.0,4,E,0,1,2.0,0,3,H318,2.0,1,4,33801,39C173,0,0,,,3,2,2020,WOOD,173,"CARS WERE FOUND DAMAGED IN TRACKS E09 AND E16.  AFTER FURTHER INVESTIGATION, IT WAS FOUND THAT CARS",WERE DAMAGED WHILE Y29724 SWITCHED THEM.,,41.58993,-83.49686
CSX,194125,20,11,24,10,50,PM,12,0,WALBRIDGE,39,35,4.0,2.0,4,E,0,1,2.0,0,4,H318,2.0,1,4,33801,39C173,0,0,,,3,2,2020,WOOD,173,"CARS WERE FOUND DAMAGED IN TRACKS E09 AND E16.  AFTER FURTHER INVESTIGATION, IT WAS FOUND THAT CARS",WERE DAMAGED WHILE Y29724 SWITCHED THEM.,,41.58993,-83.49686
CSX,194125,20,11,24,10,50,PM,12,0,WALBRIDGE,39,35,4.0,2.0,4,E,0,1,2.0,0,1,H318,2.0,1,4,33801,39C173,0,0,,,1,2,2020,WOOD,173,"CARS WERE FOUND DAMAGED IN TRACKS E09 AND E16.  AFTER FURTHER INVESTIGATION, IT WAS FOUND THAT CARS",WERE DAMAGED WHILE Y29724 SWITCHED THEM.,,41.58993,-83.49686
CSX,189856,20,4,25,4,45,PM,1,0,SIDNEY,39,54,2.0,3.0,4,E,766,1,4.0,7,2,M501,4.0,1,4,29041,39C149,0,0,9.0,9.0,1,2,2020,SHELBY,149,J79425 TIED ON ENGINE LIGHT TO 6 CARS WENT AND MADE A COUPLING TO 3 MORE CARS.  CREW STARTED TO PULL,CARS OUT AND WENT APPROX. 3 CAR LENGTHS AND DISCOVERED THERE WERE 2 CARS ON THE GROUND.  AFTER INVE,STIGATION IT WAS DISCOVERED THAT CARGILL FAILED TO ENSURE THERE INDEXER WAS DOWN .THERE INDEXER IS I,40.273794,-84.165386
CSX,189868,20,4,26,11,15,PM,4,0,HAMILTON,39,39,4.0,1.0,3,E,0,1,2.0,24,77,H302,2.0,1,3,46908,39C061,0,0,,,3,2,2020,HAMILTON,61,Q35126 WAS IN THE PROCESS OF DROPPING A LOCOMOTIVE OFF AT THE PITT WHEN THEY LEFT CSXT 3068 ON THE W,EST OPEN MIDDLE IN THE FOUL OF THE HUMP LEAD.  Y39526 WAS SHOVING R2N AND STRUCK Q35126 EQUIPMENT IN,"THE FOUL DERAILING 4 CARS.   ENGINE CSXT 3068 HAD $3,000 DAMAGE TO IT BUT DID NOT DERAIL.",37.850351,-84.256836
CSX,189868,20,4,26,11,15,PM,4,0,HAMILTON,39,39,4.0,1.0,0,E,0,1,2.0,0,0,H302,2.0,1,3,46908,39C061,0,0,21.0,21.0,1,2,2020,HAMILTON,61,Q35126 WAS IN THE PROCESS OF DROPPING A LOCOMOTIVE OFF AT THE PITT WHEN THEY LEFT CSXT 3068 ON THE W,EST OPEN MIDDLE IN THE FOUL OF THE HUMP LEAD.  Y39526 WAS SHOVING R2N AND STRUCK Q35126 EQUIPMENT IN,"THE FOUL DERAILING 4 CARS.   ENGINE CSXT 3068 HAD $3,000 DAMAGE TO IT BUT DID NOT DERAIL.",37.850351,-84.256836
